Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.164011500,1,0,1,1,1,1,1,1
4.164012875,0,0,1,1,1,1,1,1
4.164013625,0,1,1,1,1,1,1,1
4.164014250,1,1,1,1,1,1,1,1
4.164015750,0,1,1,1,1,1,1,1
4.164016375,0,0,1,1,1,1,1,1
4.164017125,1,0,1,1,1,1,1,1
4.164018500,0,0,1,1,1,1,1,1
4.164019250,0,1,1,1,1,1,1,1
4.164020000,1,1,1,1,1,1,1,1
4.164021375,0,1,1,1,1,1,1,1
4.164022125,0,0,1,1,1,1,1,1
4.164022750,1,0,1,1,1,1,1,1
4.164024250,0,0,1,1,1,1,1,1
4.164025625,1,0,1,1,1,1,1,1
4.164027000,0,0,1,1,1,1,1,1
4.164027750,0,1,1,1,1,1,1,1
4.164028500,1,1,1,1,1,1,1,1
4.164029875,0,1,1,1,1,1,1,1
4.164030625,0,0,1,1,1,1,1,1
4.164031375,1,0,1,1,1,1,1,1
4.164032750,0,0,1,1,1,1,1,1
4.164034250,1,0,1,1,1,1,1,1
4.164035625,0,0,1,1,1,1,1,1
4.164037000,1,0,1,1,1,1,1,1
4.164038500,0,0,1,1,1,1,1,1
4.164039875,1,0,1,1,1,1,1,1
4.164041250,0,0,1,1,1,1,1,1
4.164042750,1,0,1,1,1,1,1,1
4.164044125,0,0,1,1,1,1,1,1
4.164045500,1,0,1,1,1,1,1,1
4.164047000,0,0,1,1,1,1,1,1
4.164048375,1,0,1,1,1,1,1,1
4.164049750,0,0,1,1,1,1,1,1
4.164051250,1,0,1,1,1,1,1,1
4.164052625,0,0,1,1,1,1,1,1
4.164053375,0,1,1,1,1,1,1,1
4.164054000,1,1,1,1,1,1,1,1
4.164055500,0,1,1,1,1,1,1,1
4.164056250,0,0,1,1,1,1,1,1
4.164057000,1,0,1,1,1,1,1,1
4.164058375,0,0,1,1,1,1,1,1
4.164059750,1,0,1,1,1,1,1,1
4.164061250,0,0,1,1,1,1,1,1
4.164061875,0,1,1,1,1,1,1,1
4.164062625,1,1,1,1,1,1,1,1
4.164064000,0,1,1,1,1,1,1,1
4.164065500,1,1,1,1,1,1,1,1
4.164066875,0,1,1,1,1,1,1,1
4.164067625,0,0,1,1,1,1,1,1
4.164068250,1,0,1,1,1,1,1,1
4.164069750,0,0,1,1,1,1,1,1
4.164071125,1,0,1,1,1,1,1,1
4.164072500,0,0,1,1,1,1,1,1
4.164073250,0,1,1,1,1,1,1,1
4.164074000,1,1,1,1,1,1,1,1
4.164075375,0,1,1,1,1,1,1,1
4.164076125,0,0,1,1,1,1,1,1
4.164076750,1,0,1,1,1,1,1,1
4.164078250,0,0,1,1,1,1,1,1
4.164078875,0,1,1,1,1,1,1,1
4.164079625,1,1,1,1,1,1,1,1
4.164081000,0,1,1,1,1,1,1,1
4.164082500,1,1,1,1,1,1,1,1
4.164084000,0,1,1,1,1,1,1,1
4.164084625,0,0,1,1,1,1,1,1
4.164085375,1,0,1,1,1,1,1,1
4.164086750,0,0,1,1,1,1,1,1
4.164088250,1,0,1,1,1,1,1,1
4.164089625,0,0,1,1,1,1,1,1
4.164091000,1,0,1,1,1,1,1,1
4.164092500,0,0,1,1,1,1,1,1
4.164093875,1,0,1,1,1,1,1,1
4.164095250,0,0,1,1,1,1,1,1
4.164096750,1,0,1,1,1,1,1,1
4.164098125,0,0,1,1,1,1,1,1
4.164099500,1,0,1,1,1,1,1,1
4.164101000,0,0,1,1,1,1,1,1
4.164101625,0,1,1,1,1,1,1,1
4.164102375,1,1,1,1,1,1,1,1
4.164103750,0,1,1,1,1,1,1,1
4.164105250,1,1,1,1,1,1,1,1
4.164106625,0,1,1,1,1,1,1,1
4.164107375,0,0,1,1,1,1,1,1
4.164108125,1,0,1,1,1,1,1,1
4.164109500,0,0,1,1,1,1,1,1
4.164110250,0,1,1,1,1,1,1,1
4.164111000,1,1,1,1,1,1,1,1
4.164112375,0,1,1,1,1,1,1,1
4.164113750,1,1,1,1,1,1,1,1
4.164115250,0,1,1,1,1,1,1,1
4.164116625,1,1,1,1,1,1,1,1
4.164118000,0,1,1,1,1,1,1,1
4.164119500,1,1,1,1,1,1,1,1
4.164120875,0,1,1,1,1,1,1,1
4.164121625,0,0,1,1,1,1,1,1
4.164122375,1,0,1,1,1,1,1,1
4.164123750,0,0,1,1,1,1,1,1
4.164124500,0,1,1,1,1,1,1,1
4.164125125,1,1,1,1,1,1,1,1
4.164126625,0,1,1,1,1,1,1,1
4.164127250,0,0,1,1,1,1,1,1
4.164128000,1,0,1,1,1,1,1,1
4.164129375,0,0,1,1,1,1,1,1
4.164130125,0,1,1,1,1,1,1,1
4.164130875,1,1,1,1,1,1,1,1
4.164132250,0,1,1,1,1,1,1,1
4.164133000,0,0,1,1,1,1,1,1
4.164133750,1,0,1,1,1,1,1,1
4.164134500,1,1,1,1,1,1,1,1
4.164136625,1,0,1,1,1,1,1,1
4.164137375,0,0,1,1,1,1,1,1
4.164138875,1,0,1,1,1,1,1,1
4.164140250,0,0,1,1,1,1,1,1
4.164141750,1,0,1,1,1,1,1,1
4.164143125,0,0,1,1,1,1,1,1
4.164144500,1,0,1,1,1,1,1,1
4.164146000,0,0,1,1,1,1,1,1
4.164146625,0,1,1,1,1,1,1,1
4.164147375,1,1,1,1,1,1,1,1
4.164148750,0,1,1,1,1,1,1,1
4.164149500,0,0,1,1,1,1,1,1
4.164150250,1,0,1,1,1,1,1,1
4.164151625,0,0,1,1,1,1,1,1
4.164152375,0,1,1,1,1,1,1,1
4.164153000,1,1,1,1,1,1,1,1
4.164154500,0,1,1,1,1,1,1,1
4.164155125,0,0,1,1,1,1,1,1
4.164155875,1,0,1,1,1,1,1,1
4.164157250,0,0,1,1,1,1,1,1
4.164158750,1,0,1,1,1,1,1,1
4.164160125,0,0,1,1,1,1,1,1
4.164160875,0,1,1,1,1,1,1,1
4.164161500,1,1,1,1,1,1,1,1
4.164163000,0,1,1,1,1,1,1,1
4.164163750,0,0,1,1,1,1,1,1
4.164164500,1,0,1,1,1,1,1,1
4.164165875,0,0,1,1,1,1,1,1
4.164167250,1,0,1,1,1,1,1,1
4.164168750,0,0,1,1,1,1,1,1
4.164170125,1,0,1,1,1,1,1,1
4.164171500,0,0,1,1,1,1,1,1
4.164173000,1,0,1,1,1,1,1,1
4.164174375,0,0,1,1,1,1,1,1
4.164175750,1,0,1,1,1,1,1,1
4.164177250,0,0,1,1,1,1,1,1
4.164178625,1,0,1,1,1,1,1,1
4.164180000,0,0,1,1,1,1,1,1
4.164181500,1,0,1,1,1,1,1,1
4.164182875,0,0,1,1,1,1,1,1
4.164184250,1,0,1,1,1,1,1,1
4.164185750,0,0,1,1,1,1,1,1
4.164186375,0,1,1,1,1,1,1,1
4.164187125,1,1,1,1,1,1,1,1
4.164188500,0,1,1,1,1,1,1,1
4.164189375,0,0,1,1,1,1,1,1
4.164190000,1,0,1,1,1,1,1,1
4.164191500,0,0,1,1,1,1,1,1
4.164192875,1,0,1,1,1,1,1,1
4.164194250,0,0,1,1,1,1,1,1
4.164195750,1,0,1,1,1,1,1,1
4.164197125,0,0,1,1,1,1,1,1
4.164198500,1,0,1,1,1,1,1,1
4.164200000,0,0,1,1,1,1,1,1
4.164200625,0,1,1,1,1,1,1,1
4.164201375,1,1,1,1,1,1,1,1
4.164202750,0,1,1,1,1,1,1,1
4.164203500,0,0,1,1,1,1,1,1
4.164204250,1,0,1,1,1,1,1,1
4.164205625,0,0,1,1,1,1,1,1
4.164206375,0,1,1,1,1,1,1,1
4.164207000,1,1,1,1,1,1,1,1
4.164208500,0,1,1,1,1,1,1,1
4.164209125,0,0,1,1,1,1,1,1
4.164209875,1,0,1,1,1,1,1,1
4.164211250,0,0,1,1,1,1,1,1
4.164212000,0,1,1,1,1,1,1,1
4.164212750,1,1,1,1,1,1,1,1
4.164214125,0,1,1,1,1,1,1,1
4.164214875,0,0,1,1,1,1,1,1
4.164215625,1,0,1,1,1,1,1,1
4.164217000,0,0,1,1,1,1,1,1
4.164218500,1,0,1,1,1,1,1,1
4.164219875,0,0,1,1,1,1,1,1
4.164221250,1,0,1,1,1,1,1,1
4.164222750,0,0,1,1,1,1,1,1
